"positionId","warehouse","product","eventTime"
"162","W-162","P-9","1608038912563"
"163","W-163","P-42","1608166209468"
"164","W-164","P-111","1608186779285"
"165","W-165","P-43","1608087463375"
"166","W-166","P-118","1608084059722"
"167","W-167","P-33","1608137732808"
"168","W-168","P-72","1608174367286"
"169","W-169","P-181","1608126832276"
"170","W-170","P-186","1608198028735"
"171","W-171","P-126","1608101547520"
"172","W-172","P-38","1608062895279"
"173","W-173","P-160","1608115263093"
"174","W-174","P-22","1608181743606"
"175","W-175","P-171","1608194723516"
"176","W-176","P-68","1608066997958"
"177","W-177","P-57","1608140400821"
"178","W-178","P-53","1608198270934"
"179","W-179","P-174","1608060879818"
"180","W-180","P-82","1608163674602"
"181","W-181","P-12","1608173304770"
"182","W-182","P-96","1608099965025"
"183","W-183","P-157","1608051184426"
"184","W-184","P-188","1608130295150"
"185","W-185","P-22","1608182281438"
"186","W-186","P-111","1608185375422"
"187","W-187","P-143","1608126347238"
"188","W-188","P-69","1608190717165"
"189","W-189","P-152","1608157651432"
"190","W-190","P-96","1608197125028"
"191","W-191","P-148","1608184034606"
"192","W-192","P-128","1608123272940"
"193","W-193","P-2","1608071030559"
"194","W-194","P-83","1608102534110"
"195","W-195","P-96","1608147298082"
"196","W-196","P-177","1608059924297"
"197","W-197","P-31","1608157559906"
"198","W-198","P-100","1608163444109"
"199","W-199","P-118","1608044627916"
"200","W-200","P-66","1608176754517"
"201","W-201","P-172","1608189875856"
"202","W-202","P-190","1608076911340"
"203","W-203","P-150","1608159464690"
"204","W-204","P-1","1608115756312"
"205","W-205","P-80","1608141113884"
"206","W-206","P-12","1608098276692"
"207","W-207","P-173","1608063409919"
"208","W-208","P-62","1608074926867"
"209","W-209","P-2","1608116945594"
"210","W-210","P-102","1608050278846"
"211","W-211","P-46","1608134950003"
"212","W-212","P-185","1608052947013"
"213","W-213","P-116","1608092882838"
"214","W-214","P-188","1608103780438"
"215","W-215","P-116","1608181561555"
"216","W-216","P-45","1608042173366"
"217","W-217","P-26","1608149919815"
"218","W-218","P-194","1608133219105"
"219","W-219","P-45","1608185295902"
"220","W-220","P-132","1608147713044"
"221","W-221","P-1","1608113672246"
"222","W-222","P-80","1608172115647"
"223","W-223","P-1","1608158744159"
"224","W-224","P-143","1608087135241"
"225","W-225","P-84","1608104915132"
"226","W-226","P-170","1608044699258"
"227","W-227","P-178","1608186478976"
"228","W-228","P-36","1608135703426"
"229","W-229","P-139","1608166288316"
"230","W-230","P-169","1608182568488"
"231","W-231","P-163","1608097448951"
"232","W-232","P-87","1608120096928"
"233","W-233","P-57","1608082722402"
"234","W-234","P-31","1608058080382"
"235","W-235","P-140","1608121792011"
"236","W-236","P-155","1608151039957"
"237","W-237","P-114","1608183340078"
"238","W-238","P-28","1608152257648"
"239","W-239","P-56","1608068137414"
"240","W-240","P-73","1608110722907"
"241","W-241","P-188","1608131145308"
"242","W-242","P-191","1608081081171"
"243","W-243","P-112","1608090742027"
"244","W-244","P-24","1608075521725"
"245","W-245","P-190","1608198390921"
"246","W-246","P-90","1608072228235"
"247","W-247","P-183","1608098934061"
"248","W-248","P-190","1608112454751"
"249","W-249","P-58","1608121051699"
"250","W-250","P-89","1608054320804"
"251","W-251","P-24","1608064350008"
"252","W-252","P-25","1608100361530"
"253","W-253","P-134","1608172237572"
"254","W-254","P-105","1608086599389"
"255","W-255","P-35","1608084752761"
"256","W-256","P-179","1608058765714"
"257","W-257","P-194","1608032167148"
"258","W-258","P-97","1608150522697"
"259","W-259","P-181","1608173504509"
"260","W-260","P-112","1608086490325"
"261","W-261","P-139","1608197809126"
"262","W-262","P-98","1608157713236"
"263","W-263","P-12","1608063247102"
"264","W-264","P-26","1608195895431"
"265","W-265","P-56","1608067810117"
"266","W-266","P-141","1608058381654"
"267","W-267","P-63","1608138410006"
"268","W-268","P-162","1608124846237"
"269","W-269","P-57","1608034505057"
"270","W-270","P-41","1608044358261"
"271","W-271","P-146","1608132907669"
"272","W-272","P-80","1608122514279"
"273","W-273","P-59","1608098853580"
"274","W-274","P-136","1608169490766"
"275","W-275","P-85","1608077043179"
"276","W-276","P-102","1608181766459"
"277","W-277","P-94","1608098963626"
"278","W-278","P-171","1608134007396"
"279","W-279","P-48","1608181074149"
"280","W-280","P-29","1608111111712"
"281","W-281","P-136","1608152732198"
"282","W-282","P-148","1608071815315"
"283","W-283","P-56","1608129848258"
"284","W-284","P-4","1608192367761"
"285","W-285","P-95","1608143874142"
"286","W-286","P-157","1608184447095"
"287","W-287","P-191","1608067806357"
"288","W-288","P-133","1608174727677"
"289","W-289","P-22","1608196029585"
"290","W-290","P-17","1608158193596"
"291","W-291","P-176","1608163936100"
"292","W-292","P-190","1608163841692"
"293","W-293","P-23","1608123233298"
"294","W-294","P-3","1608090372179"
"295","W-295","P-122","1608076877201"
"296","W-296","P-15","1608149081171"
"297","W-297","P-131","1608091180921"
"298","W-298","P-112","1608072790190"
"299","W-299","P-192","1608031071423"
"300","W-300","P-49","1608170100835"
"301","W-301","P-179","1608198544283"
"302","W-302","P-165","1608126754213"
"303","W-303","P-176","1608112517918"
"304","W-304","P-64","1608052863951"
"305","W-305","P-78","1608160232558"
"306","W-306","P-192","1608054312159"
"307","W-307","P-143","1608059818259"
"308","W-308","P-126","1608110401967"
"309","W-309","P-113","1608061231947"
"310","W-310","P-148","1608128900136"
"311","W-311","P-174","1608141260119"
"312","W-312","P-32","1608162412008"
"313","W-313","P-95","1608200058706"
"314","W-314","P-179","1608196819541"
"315","W-315","P-30","1608029369617"
"316","W-316","P-49","1608186803844"
"317","W-317","P-69","1608037793739"
"318","W-318","P-60","1608069161998"
"319","W-319","P-128","1608057743045"
"320","W-320","P-183","1608089572221"
"321","W-321","P-74","1608084497205"
"322","W-322","P-128","1608138692237"
"323","W-323","P-121","1608136426237"
"324","W-324","P-130","1608041090300"
"325","W-325","P-196","1608112301728"
"326","W-326","P-18","1608101684244"
"327","W-327","P-44","1608088212540"
"328","W-328","P-3","1608076367496"
"329","W-329","P-125","1608167620867"
"330","W-330","P-117","1608071077095"
"331","W-331","P-24","1608157268274"
"332","W-332","P-40","1608155592915"
"333","W-333","P-78","1608183117711"
"334","W-334","P-29","1608157252207"
"335","W-335","P-120","1608170871600"
"336","W-336","P-167","1608163759317"
"337","W-337","P-123","1608118539572"
"338","W-338","P-184","1608166896154"
"339","W-339","P-86","1608172771940"
"340","W-340","P-92","1608062590250"
"341","W-341","P-40","1608075828344"
"342","W-342","P-54","1608029120098"
"343","W-343","P-89","1608032155894"
"344","W-344","P-138","1608130684724"
"345","W-345","P-81","1608160785764"
"346","W-346","P-198","1608035412827"
"347","W-347","P-168","1608049994278"
"348","W-348","P-75","1608162576840"
"349","W-349","P-114","1608034061663"
"350","W-350","P-4","1608065068531"
"351","W-351","P-71","1608084976918"
"352","W-352","P-133","1608140650937"
"353","W-353","P-56","1608128109831"
"354","W-354","P-150","1608166651854"
"355","W-355","P-166","1608029913184"
"356","W-356","P-139","1608152695267"
"357","W-357","P-132","1608084709650"
"358","W-358","P-7","1608086956137"
"359","W-359","P-97","1608122718584"
"360","W-360","P-146","1608064143611"
"361","W-361","P-13","1608074142812"
"362","W-362","P-47","1608043451325"
"363","W-363","P-149","1608165114687"
"364","W-364","P-141","1608159932413"
"365","W-365","P-162","1608047396955"
"366","W-366","P-164","1608184118924"
"367","W-367","P-73","1608127126689"
"368","W-368","P-66","1608132212142"
"369","W-369","P-132","1608055627492"
"370","W-370","P-184","1608029948139"
"371","W-371","P-98","1608099728842"
"372","W-372","P-93","1608148417031"
"373","W-373","P-24","1608146664233"
"374","W-374","P-13","1608097356785"
"375","W-375","P-27","1608133558530"
"376","W-376","P-74","1608060380170"
"377","W-377","P-72","1608136309380"
"378","W-378","P-49","1608080473848"
"379","W-379","P-169","1608030280962"
"380","W-380","P-99","1608095325601"
"381","W-381","P-64","1608069122662"
"382","W-382","P-187","1608118999548"
"383","W-383","P-183","1608095431686"
"384","W-384","P-197","1608124981395"
"385","W-385","P-111","1608085630879"
"386","W-386","P-31","1608152711146"
"387","W-387","P-160","1608053346369"
"388","W-388","P-90","1608070751817"
"389","W-389","P-128","1608095238476"
"390","W-390","P-21","1608079714271"
"391","W-391","P-180","1608068039408"
"392","W-392","P-93","1608053132231"
"393","W-393","P-197","1608120276670"
"394","W-394","P-119","1608149457537"
"395","W-395","P-131","1608193586108"
"396","W-396","P-21","1608060849201"
"397","W-397","P-155","1608091710487"
"398","W-398","P-168","1608180112719"
"399","W-399","P-149","1608095237937"
"400","W-400","P-162","1608052877878"
"401","W-401","P-135","1608150527109"
"402","W-402","P-21","1608190895421"
"403","W-403","P-49","1608102159715"
"404","W-404","P-64","1608186752694"
"405","W-405","P-39","1608130383813"
"406","W-406","P-9","1608108003218"
"407","W-407","P-37","1608152320165"
"408","W-408","P-48","1608197981158"
"409","W-409","P-54","1608077996131"
"410","W-410","P-61","1608080492834"
"411","W-411","P-165","1608123773565"
"412","W-412","P-11","1608193393387"
"413","W-413","P-190","1608040590744"
"414","W-414","P-87","1608151833988"
"415","W-415","P-195","1608068051583"
"416","W-416","P-111","1608131994465"
"417","W-417","P-15","1608133420529"
"418","W-418","P-29","1608104202314"
"419","W-419","P-196","1608099803272"
"420","W-420","P-37","1608114738072"
"421","W-421","P-19","1608062076436"
"422","W-422","P-166","1608064239499"
"423","W-423","P-147","1608113341893"
"424","W-424","P-161","1608190806152"
"425","W-425","P-177","1608187814192"
"426","W-426","P-155","1608054367861"
"427","W-427","P-64","1608043741145"
"428","W-428","P-124","1608138419113"
"429","W-429","P-66","1608092467694"
"430","W-430","P-82","1608054821448"
"431","W-431","P-117","1608177558118"
"432","W-432","P-145","1608128585856"
"433","W-433","P-40","1608092567378"
"434","W-434","P-114","1608184555270"
"435","W-435","P-156","1608159111341"
"436","W-436","P-39","1608085372289"
"437","W-437","P-115","1608165588559"
"438","W-438","P-83","1608066090367"
"439","W-439","P-41","1608062543416"
"440","W-440","P-175","1608073831486"
"441","W-441","P-76","1608111802889"
"442","W-442","P-69","1608030686879"
"443","W-443","P-101","1608138128429"
"444","W-444","P-113","1608049140904"
"445","W-445","P-62","1608047049498"
"446","W-446","P-170","1608035511782"
"447","W-447","P-48","1608189700858"
"448","W-448","P-25","1608078677725"
"449","W-449","P-124","1608194413111"
"450","W-450","P-147","1608046679667"
"451","W-451","P-34","1608111515217"
"452","W-452","P-130","1608033108483"
"453","W-453","P-147","1608035948435"
"454","W-454","P-83","1608179660084"
"455","W-455","P-40","1608119215804"
"456","W-456","P-136","1608141419650"
"457","W-457","P-71","1608097781708"
"458","W-458","P-66","1608110498741"
"459","W-459","P-98","1608194542019"
"460","W-460","P-161","1608061544815"
"461","W-461","P-22","1608149753175"
"462","W-462","P-128","1608046986752"
"463","W-463","P-59","1608047329989"
"464","W-464","P-129","1608182719757"
"465","W-465","P-21","1608198212087"
"466","W-466","P-90","1608036676644"
"467","W-467","P-153","1608031541246"
"468","W-468","P-55","1608179903966"
"469","W-469","P-71","1608169204388"
"470","W-470","P-161","1608058507497"
"471","W-471","P-124","1608063785327"
"472","W-472","P-159","1608062570195"
"473","W-473","P-7","1608195962208"
"474","W-474","P-197","1608080047488"
"475","W-475","P-186","1608175215820"
"476","W-476","P-159","1608083160334"
"477","W-477","P-196","1608124358575"
"478","W-478","P-42","1608054336229"
"479","W-479","P-136","1608073158968"
"480","W-480","P-151","1608103525695"
"481","W-481","P-128","1608192483843"
"482","W-482","P-75","1608069477258"
"483","W-483","P-94","1608135840956"
"484","W-484","P-24","1608111415738"
"485","W-485","P-28","1608083269238"
"486","W-486","P-19","1608158989752"
"487","W-487","P-106","1608181124231"
"488","W-488","P-105","1608053837749"
"489","W-489","P-116","1608032832075"
"490","W-490","P-60","1608129766841"
"491","W-491","P-48","1608047828723"
"492","W-492","P-160","1608170436647"
"493","W-493","P-176","1608146091935"
"494","W-494","P-99","1608087292557"
"495","W-495","P-144","1608150792111"
"496","W-496","P-178","1608050359980"
"497","W-497","P-22","1608074422265"
"498","W-498","P-149","1608185994789"
"499","W-499","P-53","1608109400627"
"500","W-500","P-134","1608044613956"
